#gen	avg	min
147	1482.7148972	342.077306667
148	1484.807844	342.044653333
149	1486.51658787	341.997
150	1488.83899453	341.97468
151	1489.0942896	341.953506667
152	1486.54242827	341.933413333
153	1488.4017064	341.901106667
154	1487.3381252	341.87764
155	1486.611388	341.824733333
156	1486.47595587	341.815653333
157	1487.76355693	341.80936
158	1489.1241336	341.746746667
159	1490.69298867	341.739226667
160	1490.44997987	341.739226667
161	1487.34707613	341.71024
162	1489.65792107	341.676986667
163	1493.01181067	341.671533333
164	1492.8276612	341.65684
165	1489.42168373	341.64344
166	1491.62557013	341.62444
167	1490.64331227	341.606053333
168	1488.41071187	341.606053333
169	1491.53486373	341.59076
170	1493.144952	341.4828
171	1497.0164976	341.477973333
172	1493.52437907	341.329426667
173	1492.9582076	341.323013333
174	1496.16529427	341.308866667
175	1496.69455227	341.303533333
176	1493.8102828	341.231866667
177	1495.3608128	341.154306667
178	1500.27745707	341.142293333
179	1495.98491347	341.128293333
180	1498.39764853	341.098586667
181	1497.16903293	341.036133333
182	1495.81392333	340.98908
183	1498.3224528	340.979346667
184	1499.20998293	340.974013333
185	1500.621642	340.967733333
186	1500.28950947	340.953453333
187	1499.82657907	340.92068
188	1500.28656947	340.90624
189	1499.44919773	340.87744
190	1497.1622556	340.867533333
191	1500.55735933	340.7848
192	1500.9489584	340.74004
193	1503.52963507	340.72532
194	1499.4082776	340.709466667
195	1499.82803947	340.633986667
196	1502.47828827	340.613813333
197	1501.859688	340.613813333
198	1499.2771028	340.575986667
199	1497.72280453	340.5436
200	1500.81157107	340.534133333
201	1499.13530547	340.531013333
202	1496.626902	340.511906667
203	1503.08504107	340.492106667
204	1504.6445812	340.481666667
205	1504.10183613	340.434773333
206	1500.0245936	340.41348
207	1500.40644813	340.40288
208	1501.28805213	340.393413333
209	1501.7497732	340.376786667
210	1501.1025848	340.375426667
211	1500.60428867	340.356026667
212	1500.29418093	340.346493333
213	1500.54949787	340.346493333
214	1501.6589428	340.337346667
215	1502.6740368	340.294826667
216	1504.51731253	340.242266667
217	1504.90325533	340.22096
218	1506.23976467	340.19556
219	1503.6765	340.177026667
220	1504.4521752	340.16856
221	1499.22837853	340.159093333
222	1500.93708827	340.099986667
223	1501.2415968	340.092333333
224	1504.22694267	340.040613333
225	1500.32410133	340.040613333
226	1505.18786387	340.03088
227	1503.9229848	340.005866667
228	1506.23285347	340.005866667
229	1507.460554	340.004466667
230	1506.08544387	339.966346667
231	1505.36264893	339.966346667
232	1507.0824564	339.92208
233	1507.34611707	339.92208
234	1506.04745453	339.850573333
235	1503.22480693	339.8498
236	1506.23665827	339.83892
237	1504.56188133	339.83272
238	1504.97854453	339.806733333
239	1506.31684333	339.806733333
240	1504.9933256	339.766373333
241	1505.82349773	339.76384
242	1507.07894987	339.732333333
243	1510.4584328	339.72068
244	1507.853384	339.72068
245	1508.99540093	339.66624
246	1508.26308773	339.644106667
247	1504.8393256	339.644106667
248	1506.54462267	339.644106667
249	1503.5629056	339.639066667
250	1505.0015644	339.63232
251	1507.436522	339.625786667
252	1510.07526787	339.625786667
253	1510.96437213	339.625786667
254	1510.70880667	339.625786667
255	1509.76791947	339.610573333
256	1508.43248427	339.610573333
257	1506.06316387	339.60124
258	1510.14983427	339.60124
259	1511.60942027	339.60124
260	1511.08746613	339.60124
261	1510.66124707	339.60124
262	1509.9918304	339.60124
263	1513.2467684	339.60124
264	1510.9530608	339.591373333
265	1513.89263493	339.589506667
266	1515.03351747	339.589506667
267	1512.6516008	339.582973333
268	1510.0497148	339.5418
269	1512.09687707	339.5376
270	1511.18799293	339.5376
271	1513.64495067	339.5376
272	1511.93110347	339.531386667
273	1513.28733973	339.520506667
274	1517.21900293	339.520506667
275	1513.32413627	339.517573333
276	1515.51024107	339.513373333
277	1511.52679	339.513373333
278	1510.97221413	339.506053333
279	1513.83744373	339.506053333
280	1511.58050667	339.436733333
281	1516.32911093	339.436733333
282	1515.67771773	339.42668
283	1513.45122453	339.42668
284	1512.40837893	339.390613333
285	1512.00482107	339.346093333
286	1515.15669693	339.340426667
287	1514.76170213	339.337893333
288	1519.6912628	339.333173333
289	1519.87216627	339.331546667
290	1517.74576187	339.331546667
291	1518.8762836	339.303093333
292	1514.82087747	339.267866667
293	1515.6298132	339.266133333
294	1515.4932048	339.266133333
295	1515.10110133	339.253373333
296	1515.31422387	339.253373333
297	1517.29255813	339.24344
298	1513.8148624	339.23376
299	1511.29679773	339.227226667
